content,content_clean,summary
"삼성 19개 계열사, 27일부터 하반기 신입 공채",삼성 19개 계열사 27일부터 하반기 신입 공채,삼성의 19개 계열사가 27일부터 하반기 신입사원 공개 채용을 시작합니다.
"올 2분기 KB 대출로 서울 아파트 산 가구 연소득 9,173만 원",올 2분기 KB 대출로 서울 아파트 산 가구 연소득 9173만 원,"올 2분기 KB 대출로 서울 아파트를 구매한 가구의 평균 연소득이 9,173만 원으로 나타났습니다."
"이번엔 '마아가' 프로젝트…팀 코러스, 원전 협력 첫발 내딛었다",이번엔 마아가 프로젝트팀 코러스 원전 협력 첫발 내딛었다,팀 코러스가 '마아가' 프로젝트를 통해 원전 분야에서 협력을 시작했습니다.
해외계좌 신고액 100조 육박... 해외주식·가상자산 가치 올라,해외계좌 신고액 100조 육박 해외주식가상자산 가치 올라,"해외계좌 신고액이 100조 원에 육박하며, 이는 해외 주식과 가상자산 가치 상승에 기인합니다."
"CJ그룹 이재현 회장 장남 이선호, 지주사로 이동…""미래먹거리 발굴""",CJ그룹 이재현 회장 장남 이선호 지주사로 이동미래먹거리 발굴,CJ그룹 이재현 회장의 장남 이선호가 지주사로 이동하여 미래 먹거리 발굴에 집중할 계획입니다.
"KB국민銀, 중기 특화상품 대출 7월 기준 1.4조 증가",KB국민銀 중기 특화상품 대출 7월 기준 14조 증가,KB국민은행이 중소기업 특화상품 대출을 통해 7월 기준 1.4조 원 증가를 기록했습니다.
"현대차그룹, 美 제철·자동차·로봇에 7조원 추가 투자",현대차그룹 美 제철자동차로봇에 7조원 추가 투자,"현대차그룹이 미국 내 제철, 자동차, 로봇 분야에 7조 원을 추가 투자할 계획입니다."
"경찰, 서울 해군호텔 예식장 등 압수수색…해군 유착비리 의혹",경찰 서울 해군호텔 예식장 등 압수수색해군 유착비리 의혹,경찰이 해군 유착 비리 의혹으로 서울 해군호텔 예식장을 압수수색했습니다.
"김건희 27일 소환, 이르면 29일 기소…윤석열도 함께? 고민하는 특검",김건희 27일 소환 이르면 29일 기소윤석열도 함께 고민하는 특검,"김건희가 27일 소환되고 29일 기소될 가능성이 있으며, 윤석열의 동반 기소 여부를 특검이 고민 중입니다."
"대학가 '마약 던지기' 원천차단…서울시, 합동점검 실시",대학가 마약 던지기 원천차단서울시 합동점검 실시,서울시가 대학가에서의 '마약 던지기'를 막기 위해 합동점검을 실시하여 원천 차단에 나섰습니다.
전북대병원 전공의 정원 대비 70% 충원…진료 정상화 기대,전북대병원 전공의 정원 대비 70 충원진료 정상화 기대,전북대병원이 전공의 정원을 70% 충원하며 진료 정상화를 기대하고 있습니다.
"특검, 권성동 피의자 신분 소환…김건희 29일 재판에",특검 권성동 피의자 신분 소환김건희 29일 재판에,"특검이 권성동을 피의자 신분으로 소환하고, 김건희는 29일 재판에 출석할 예정이다."
"""오산 공군기지 압수수색, 미군 관련 없어""",오산 공군기지 압수수색 미군 관련 없어,"오산 공군기지 압수수색은 진행되었으나, 미군과는 관련이 없는 것으로 확인되었습니다."
"'혼밥 손님에 면박'...전남 여수시 ""혼밥 식당 모집합니다""",혼밥 손님에 면박전남 여수시 혼밥 식당 모집합니다,전남 여수시가 혼밥 손님을 환영하는 식당을 모집하여 혼밥 문화를 장려하고자 합니다.
"트럼프 '韓 교회 압수수색' 발언에 해병특검 ""절차 위반 없었다""",트럼프 韓 교회 압수수색 발언에 해병특검 절차 위반 없었다,트럼프의 한국 교회 압수수색 발언에 대해 해병특검은 절차 위반이 없었다고 반박했습니다.
"""K컬처·공공의료·복지혁신"" 김동연, 양주서 민생경제 점검",K컬처공공의료복지혁신 김동연 양주서 민생경제 점검,"김동연 경기도지사가 양주를 방문해 K컬처, 공공의료, 복지 혁신을 통한 민생경제 점검에 나섰습니다."
"특검, '계엄 가담 의혹' 해경청·전 간부 압수수색",특검 계엄 가담 의혹 해경청전 간부 압수수색,특검이 계엄 가담 의혹과 관련해 해경청과 전 간부를 압수수색했습니다.
BIFF '부산 어워드' 트로피 첫 주인공 14작품이 다툰다,BIFF 부산 어워드 트로피 첫 주인공 14작품이 다툰다,부산국제영화제 '부산 어워드'의 첫 트로피를 두고 14개의 작품이 경쟁을 벌이고 있다.
테슬라 전기 픽업 '사이버트럭' 국내 상륙…1억4500만원부터,테슬라 전기 픽업 사이버트럭 국내 상륙1억4500만원부터,"테슬라의 전기 픽업트럭 '사이버트럭'이 국내에 출시되며 가격은 1억 4,500만 원부터 시작합니다."
올해 국립중앙박물관 관람객 400만 명 ↑...역대 최다,올해 국립중앙박물관 관람객 400만 명 역대 최다,올해 국립중앙박물관 관람객이 400만 명을 넘어 역대 최다 기록을 세웠습니다.
밤까지 일부 동쪽 비‥내일 다시 무더위[날씨],밤까지 일부 동쪽 비내일 다시 무더위날씨,"일부 동쪽 지역에 밤까지 비가 내리며, 내일은 다시 무더위가 찾아올 예정입니다."
김건모 6년 만에 가요계 복귀…9월부터 전국투어,김건모 6년 만에 가요계 복귀9월부터 전국투어,김건모가 6년 만에 가요계에 복귀하며 9월부터 전국투어를 시작합니다.
JYP·YG·하이브 총출동…경주서 APEC 문화산업 논의 시작,JYPYG하이브 총출동경주서 APEC 문화산업 논의 시작,"JYP, YG, 하이브 등이 참여해 경주에서 APEC 문화산업 논의를 시작했습니다."
"[단독]이동석 현대차 사장, 노조에 교섭재개 요청…""지혜와 힘 모아야""",단독이동석 현대차 사장 노조에 교섭재개 요청지혜와 힘 모아야,이동석 현대차 사장이 노조에 교섭 재개를 요청하며 협력을 강조했습니다.
전북 비 그치고 폭염특보 해제…내일 가시거리 200m 미만 안개[날씨],전북 비 그치고 폭염특보 해제내일 가시거리 200m 미만 안개날씨,전북 지역에 비가 그치고 폭염특보가 해제되었습니다. 내일은 가시거리 200m 미만의 안개가 예상됩니다.
"김경일 게임과학연구원장 ""AI·게임 결합이 사람을 더 주체적으로 만든다""",김경일 게임과학연구원장 AI게임 결합이 사람을 더 주체적으로 만든다,김경일 게임과학연구원장은 AI와 게임의 결합이 개인의 주체성을 강화한다고 강조했습니다.
차비폰 경쟁 '손절'하더니…LG유플러스 'AI 청사진' 통할까,차비폰 경쟁 손절하더니LG유플러스 AI 청사진 통할까,LG유플러스가 차별화된 AI 전략으로 시장 경쟁에서 새로운 방향을 모색하고 있습니다.
카카오·우버 ‘월 4900원’ 멤버십 출시…택시도 구독 시대,카카오우버 월 4900원 멤버십 출시택시도 구독 시대,카카오와 우버가 월 4900원 멤버십을 출시하여 택시 서비스에도 구독 모델을 도입했습니다.
"라인게임즈 '대항해시대 오리진', 중국 판호 획득",라인게임즈 대항해시대 오리진 중국 판호 획득,라인게임즈의 '대항해시대 오리진'이 중국에서 게임 서비스 허가를 의미하는 판호를 획득했습니다.
트럼프 “美디지털기업 규제 국가에 추가관세”…韓도 포함되나,트럼프 美디지털기업 규제 국가에 추가관세韓도 포함되나,트럼프 전 대통령이 미국 디지털 기업 규제 국가에 추가 관세를 검토하며 한국 포함 여부가 주목됩니다.
"日정부 ""지역 평화와 안정에 의의""[한미정상회담]",日정부 지역 평화와 안정에 의의한미정상회담,일본 정부는 한미정상회담이 지역의 평화와 안정에 중요하다고 평가했습니다.
"한미회담 당일, 특사단 중국 부주석·서열 3위 접견",한미회담 당일 특사단 중국 부주석서열 3위 접견,"한미회담 당일, 한국 특사단이 중국 부주석 및 서열 3위를 만나 양국 관계를 논의했습니다."
국회의원 월 2000만원 받는데 주택 수당까지?… 인니서 반대 시위,국회의원 월 2000만원 받는데 주택 수당까지 인니서 반대 시위,인도네시아에서 국회의원들이 월 2000만원에 주택 수당까지 받는 것에 반대하는 시위가 발생했습니다.
"인도, 50% 관세 앞두고 백악관 비서실장 근무했던 로비업체 계약",인도 50 관세 앞두고 백악관 비서실장 근무했던 로비업체 계약,인도는 50% 관세를 피하기 위해 백악관 비서실장 출신의 로비업체와 계약을 체결했습니다.
"日언론, 李 대통령 트럼프에 '북한 가교' 요청 주목…""'핵보유국 인식'은 우려""",日언론 李 대통령 트럼프에 북한 가교 요청 주목핵보유국 인식은 우려,"일본 언론은 이 대통령이 트럼프에게 북한과의 가교 역할을 요청한 점을 주목하며, 북한을 핵보유국으로 인식하는 것에 대한 우려를 보도했다."
긴축재정 사활 건 佛총리…의회에 신임투표 '승부수',긴축재정 사활 건 佛총리의회에 신임투표 승부수,프랑스 총리가 긴축재정을 추진하며 의회에 신임투표를 걸어 중요한 정치적 승부수를 띄웠습니다.
"李대통령과 악수할 때 포착된 트럼프 손등 위 ‘멍자국’, 무슨 병?",李대통령과 악수할 때 포착된 트럼프 손등 위 멍자국 무슨 병,트럼프 손등의 멍자국이 언론에 포착되며 건강 상태에 대한 의문이 제기되었습니다.
"BTS 뷔-오타니와 ‘투샷’…뷔, 어느쪽 손으로 ‘깜짝 시구’ 했나",BTS 뷔오타니와 투샷뷔 어느쪽 손으로 깜짝 시구 했나,"BTS의 뷔가 오타니와 함께 사진을 찍었으며, 뷔가 깜짝 시구를 어느 손으로 했는지 주목받고 있습니다."
미 상무장관 “이번 주 일본의 대미투자 세부내용 발표”,미 상무장관 이번 주 일본의 대미투자 세부내용 발표,미 상무장관이 이번 주 일본의 미국 투자 계획 세부사항을 발표할 예정이라고 밝혔습니다.
